專著	专著
親著	亲著
卓著	卓著
原著	原著
發著	发著
合著	合著
名著	名著
吐著	吐著
土著	土著
大著	大著
巨著	巨著
乾絲	乾丝
乾乾	康乾
乾元	乾元
乾卦	乾卦
乾縣	乾县
乾圖	乾图
乾圖	乾图
乾坤	乾坤
乾宅	乾宅
乾斷	乾断
乾旦	乾旦
乾曜	乾曜
乾清宮	乾清宫
乾盛世	乾盛世
乾著急	乾着急
乾紅	乾红
乾綱	乾纲
乾紅	乾紅
乾綱	乾纲
乾象	乾象
乾陵	乾陵
乾隆	乾隆
張法乾	张法乾
彰明較著	彰明较著
所著	所著
所著手	所着手
批著	批著
撰著	撰著
新著	新著
舊著	旧著
昭著	昭著
顯著	显著
洋涇濱	洋泾浜
著書	著书
著作	著作
著名	著名
著庸	著庸
著錄	著录
著明	著明
著有	著有
著毋庸議	著毋庸议
著稱	著称
著籍	著籍
著績	著绩
著者	著者
著述	著述
紈褲	纨绔
紈褲子弟	纨绔子弟
編著	编著
蕭乾	萧乾
絝下	裤下
絝下之辱	绔下之辱
見微知著	见微知著
計畫	计划
論著	论著
譯著	译著
象徵	象征
象徵著	象徵着
遺著	遗著
郭子乾	郭子乾
頗著	颇著
鮎魚	鲶鱼
