劍	劒
劎	劔
劒	劍
劓	㓷
劔	劎
劝	勸
办	辦
劫	刦 刧 刼
効	效
勄	敏
勅	勑 敕
勑	倈 勅 敕 徠
勖	勗
勗	勖
勛	勳
勰	協 恊
勳	勛
勸	劝
勹	包
勻	匀
勽	㲒 菢
匀	勻
匃	丐 匄
匄	匃
包	勹
匆	悤 怱
匈	胸 胷
匊	掬
匋	陶
匏	瓟
匘	腦
匙	鍉
匝	帀 迊 𠂝
匧	篋
匯	滙
匱	樻 鐀 櫃 饋
匳	奩
匵	櫝
匹	疋
医	醫
千	仟
卄	廿
卉	芔
卌	𠦌
卍	万 卐 萬
卐	卍
卒	䘚
協	勰 旪
单	單
博	愽
卧	臥
卩	㔾
卬	卭
卭	卬
卯	戼
危	𡴲 𡵁
即	卽
却	卻
卹	恤
卻	却
卽	即
厄	戹
历	厲
厎	砥
厓	崖
厖	庬
厘	釐 𭀖
原	𠪥
厠	廁
厤	曆
厦	廈
厨	㕑 廚 𢊍
厩	廐
厪	廑
厮	㒋 廝
厰	廠
厲	历
厶	某
厷	肱
厹	叴
叁	三
參	叅
叅	參
双	雙
収	收
叔	尗
变	變
叙	敍 敘
叜	傁 叟
叟	傁 叜
叠	曡 疊
叡	睿
叢	樷
叨	饕
只	子
叫	呌
台	臺
叴	厹
叵	尀
号	號
吃	喫
吊	弔
同	仝
吒	咤
吚	咿
吝	恡 悋
吞	呑
吟	唫
吣	唚
吨	啍
听	聽
吲	哂
吳	呉
吶	訥
吸	噏
吹	龡
吻	呡 肳
吿	告
呆	獃
呉	吳
告	吿
呌	叫
呑	吞
呠	歕 噴
呡	吻
周	週
呪	詋 咒
咀	觜 嘴
咂	𠯗
咊	和 龢
和	咊 龢
咏	詠
咒	呪
咤	吒
咨	嗞 諮
咩	哶
咬	齩
咱	偺
咲	笑
咳	欬
咷	啕
咽	嚥
咿	吚
哂	吲
响	響
哦	誐
哲	喆 悊
哴	喨
哶	咩
唁	喭
唇	脣
唉	欸
唊	硤
唚	吣
唫	吟
唬	諕 猇 虓
唾	涶
啃	齦
啍	吨
啎	忤
啓	啟
啕	咷
啖	㗖 噉 啗
啗	㗖 啖 噉
啜	欼 諁 歠
啞	瘂
啟	啓
啣	㘅
啼	嗁
喂	餧
喃	諵
喆	哲
喐	郁
喒	昝
喜	憙
喧	諠
喨	哴
喫	吃
喬	乔
喭	唁
單	单
喿	噪
嗁	啼
嗅	齅
嗉	膆
嗒	㗳
嗞	咨 諮
嗥	嚎 嘷
嗽	瘶
嘆	歎
嘈	䜊
嘍	謱
嘗	甞
嘩	譁
嘯	歗
嘱	囑
嘴	咀 觜
嘷	嗥
嘿	默
噂	譐
噉	㗖 啖 啗
噏	吸
噐	器
噑	嚎
噦	𧬨
器	噐
噪	喿 譟
噴	呠 歕
嚎	嗥 噑
嚥	咽
嚬	顰
嚳	俈
嚵	饞
嚹	𡅈
囁	讘
囈	讛
囑	嘱
囓	齧
囘	囬 回
四	肆
回	囘 廻 囬
囟	䪿 顖
囤	𥫱
囪	囱
囬	囘 回
园	刓
囮	𡈙
囯	國
困	睏
囱	囪
圅	函 凾
國	囯
圕	圖
圖	圕
圝	圞
圞	圝
圢	町
圣	聖
圩	墟
圬	杇
圭	珪
