trad	vars	cn	tw	hk	jp	jpg	notes
寰		寰					
寵		宠					
寶		宝			宝		
寸		寸					
寺		寺					
封		封					
射		射					
將		将			将		
專		专			専		
尉		尉					
尊		尊					
尋		寻					
對		对			対		
導		导					
小		小					
少		少					
尕		尕					
尖		尖					
尚		尚					
尜		尜					
尢		尢					
尤		尤					
尥		尥					
尨		尨					
尪		尪					
尬		尬					
就		就					
尷		尴					
尸		尸					
尹		尹					
尺		尺					
尻		尻					
尼		尼					
尾		尾					
尿		尿					
局		局					
屁		屁					
居		居					
屆	届	届			届		
屈		屈					
屉		屉					
屋		屋					
屍		尸					
屎		屎					
屏		屏					
屐		屐					
屑		屑					
屓		屃					
展		展					
屙		屙					
屜		屉					
屠		屠					
屢		屡					
屣		屣					
層		层			層	層	
履		履					
屨		屦					
屩		𪨗					
屬		属			属		
屯		屯					
山		山					
屹		屹					
屺		屺					
屼		屼					
屾		屾					
岈		岈					
岊		岊					
岌		岌					
岍		岍					
岐		岐					
岑		岑					
岔		岔					
岙		岙					
岜		岜					
岞		岞					
岠		岠					
岡		冈					
岢		岢					
岣		岣					
岨		岨					
岩		岩					
岫		岫					
岬		岬					
岱		岱					
岳		岳					
岵		岵					
岷		岷					
岸		岸					
峁		峁					
峂		峂					
峋		峋					
峒		峒					
峗		峗					
峘		峘					
峙		峙					
峛		峛					
峧		峧					
峨		峨					
峪		峪					
峭		峭					
峯	峰	峰	峰		峰		
峱		峱					
峴		岘					
島		岛					
峻		峻					
峽		峡			峡		
峿		峿					
崀		崀					
崁		崁					
崆		崆					
崇		崇					
崌		崌					
崍		崃					
崎		崎					
崑		昆					
崒		崒					
崔		崔					
崖		崖					
崗		岗					
崙	崘	仑 𪨧					
崚		崚					
崛		崛					
崞		崞					
崟		崟					
崡		崡					
崢	峥	峥					
崤		崤					
崦		崦					
崧		崧					
崩		崩					
崬		岽					
崮		崮					
崴		崴					
崶		崶					
崽		崽					
崾		崾					
崿		崿					
嵁		嵁					
嵅		嵅					
嵇		嵇					
嵊		嵊					
嵋		嵋					
嵌		嵌					
嵎		嵎					
嵐		岚					
嵖		嵖					
嵛		嵛					
嵩		嵩					
嵫		嵫					
嵬		嵬					
嵯		嵯					
嵲		嵲					
嵴		嵴					
嵼		𡶴					
嵽		𫶇					
嵾		㟥					
嶁		嵝					
嶂		嶂					
嶄		崭					
嶅		嶅					
嶇		岖					
嶈		𡺃					
嶍		嶍					
嶒		嶒					
嶓		嶓					
嶔		嵚					
嶗		崂					
嶘		𡺄					
嶙		嶙					
嶝		嶝					
嶟		嶟					
嶠		峤					
嶢		峣					
嶦		嶦					
嶧		峄					
嶨		峃					
嶮		崄					
嶲		嶲					
嶷		嶷					
嶸		嵘					
嶹		𫝵					
嶺		岭					
嶼		屿					
嶽	𡶓 𡶳 𡴳	岳			岳		
巇		巇					
巉		巉					
巊		𪩎					
巋		岿					
巍		巍					
巒		峦					
巔		巅					
巖		岩			巌		
巗		𪨷					
巘		𪩘					
川		川					
州		州					
巡		巡					
巢		巢			巣		
工		工					
左		左					
巧		巧					
巨		巨					
巫		巫					
差		差					
巰		巯					
己		己					
已		已					
巳		巳					
巴		巴					
巷		巷					
巹	卺	卺					
巽		巽					
巾		巾					
市		市					
布		布					
帆		帆					
希		希					
帑		帑					
帔		帔					
帕		帕					
帖		帖					
帘		帘					
帙		帙					
帚		帚					
帛		帛					
帝		帝					
帡		帡					
帥		帅					
帨		帨					
師		师					
席		席					
帳		帐					
帶		带			帯		
帷		帷					
常		常					
帽		帽					
幀		帧					
幂		幂					
幃		帏					
幄		幄					
幅		幅					
幌		幌					
幓		㡎					
幔		幔					
幕		幕					
幖		幖					
幗		帼					
幘		帻					
幛		幛					
幝		𪩷					
幞		幞					
幟		帜					
幡		幡					
幢		幢					
幣		币					
幩		𪩸					
幪		幪					
幫		帮					
幬		帱					
干		干					
平		平					
年		年					
并	幷	并					
幸		幸					
幹		干					
幺		幺	么				
幻		幻					
幼		幼					
幽		幽					
幾		几					
广		广					
庇		庇					
庋		庋					
序		序					
底		底					
庖		庖					
店		店					
庚		庚					
府		府					
庠		庠					
庤		庤					
庥		庥					
度		度					
座		座					
庫		库					
庭		庭					
庱		庱					
庳		庳					
庵		庵					
庶		庶					
康		康					
庸		庸					
庹		庹					
庾		庾					
廁	厠	厕			厠		
廂	厢	厢					
廄	厩	厩					
廆		廆					
廈	厦	厦					
廉		廉					
廊		廊			廊	廊	
廋		廋					
廎		庼					
廑		廑					
廒		廒					
廓		廓					
廕		荫					
廖		廖					
廙		廙					
廚	厨	厨					
廛		廛					
廝	厮	厮					
廞		𫷷					
廟		庙					
廠		厂					
廡		庑					
廢		废			廃		
廣		广			広		
廧		𪪞					
廨		廨					
廩	廪	廪					
廬		庐 𪪏					
廳		厅			庁		
延		延					
廷		廷					
建		建					
廿		廿					
弁		弁			弁		
异		异					
弄		弄					
弆		弆					
弇		弇					
弈		弈					
弊		弊					
弋		弋					
式		式					
弒	弑	弑					
弓		弓					
弔		吊					
引		引					
弗		弗					
弘		弘					
弛		弛					
弟		弟					
弢		弢					
弦		弦					
弧		弧					
弨		弨					
弩		弩					
弭		弭					
弱		弱					
弳		弪					
張		张					
弶		弶					
強	强	强					
弸		弸					
弼		弼					
彀		彀					
彃		𪪼					
彄		𫸩					
彆		别					
彈		弹			弾		
彌		弥			弥		
彎		弯			弯		
彔		录					
彖		彖					
彗		彗					
彘		彘					
彙		汇					
彝	彞	彝					
彠		彟					
形		形					
彤		彤					
彥	彦	彦			彦		
彧		彧					
彩		彩					
彪		彪					
彫		雕					
彬		彬					
彭		彭					
彰		彰					
影		影					
彲		彨					
彳		彳					
彷		彷 仿					
役		役					
彼		彼					
彿		佛					
往		往					
征		征					
徂		徂					
待		待					
徇		徇					
很		很					
徉		徉					
徊		徊					
律		律					
後		后					
徐		徐					
徑		径			径		
徒		徒					
得		得					
徘		徘					
徙		徙					
徛		徛					
徜		徜					
從		从			従		
徠		徕					
御		御					
徨		徨					
復		复					
循		循					
徭		徭					
微		微					
徵		征 徵			徴		
德		德			徳		
徹		彻					
徼		徼					
徽		徽					
徿		𪫌					
心		心					
必		必					
忉		忉					
忌		忌					
忍		忍					
忐		忐					
忑		忑					
忒		忒					
忖		忖					
志		志					
忘		忘					
忙		忙					
忝		忝					
忞		忞					
忠		忠					
忡		忡					
忤		忤					
忪		忪					
快		快					
忭		忭					
忮		忮					
忱		忱					
忳		忳					
念		念					
忸		忸					
忺		忺					
忻		忻					
忽		忽					
忿		忿					
怊		怊					
怍		怍					
怎		怎					
怏		怏					
怒		怒					
怔		怔					
怕		怕					
怖		怖					
怙		怙					
怛		怛					
思		思					
怠		怠					
怡		怡					
急		急					
怦		怦					
性		性					
怨		怨					
怩		怩					
怪		怪					
怫		怫					
怯		怯					
怵		怵					
恁		恁					
恂		恂					
恃		恃					
恆		恒			恒		
恍		恍					
恐		恐					
恒		恒					
恓		恓					
恔		恔					
恕		恕					
恙		恙					
恚		恚					
恝		恝					
恢		恢					
恣		恣					
恤		恤					
恥	耻	耻					
恧		恧					
恨		恨					
恩		恩					
恪		恪					
恫		恫					
恬		恬					
恭		恭					
息		息					
恰		恰					
恿		恿					
悃		悃					
悄		悄					
悅	悦	悦		悦	悦		
悆		悆					
悈		悈					
悉		悉					
悌		悌					
悍		悍					
悒		悒					
悔		悔			悔	悔	
悖		悖					
悚		悚					
悛		悛					
悝		悝					
悞		悮					
悟		悟					
悠		悠					
悢		悢					
患		患					
您		您					
悰		悰					
悱		悱					
悲		悲					
悴		悴					
悵		怅					
悶		闷					
悸		悸					
悻		悻					
悼		悼					
悽		凄					
情		情					
惆		惆					
惇		惇					
惋		惋					
惎		惎					
惑		惑					
惔		惔					
惕		惕					
惘		惘					
惙		惙					
惚		惚					
惛		惛					
惜		惜					
惝		惝					
惟		惟					
惠		惠			恵		
惡		恶			悪		
惦		惦					
惰		惰					
惱		恼			悩		
惲		恽					
想		想					
惴		惴					
惶		惶					
惹		惹					
惺		惺					
惻		恻					
愀		愀					
愁		愁					
愃		愃					
愆		愆					
愈		愈					
愉		愉					
愍		愍					
愎		愎					
意		意					
愐		愐					
愔		愔					
愕		愕					
愚		愚					
愛		爱					
愜		惬					
感		感					
愣		愣					
愧		愧					
愨	慤 𣪎	悫					
愫		愫					
愭		愭					
愴		怆					
愷		恺					
愻		𢙏					
愾		忾					
愿		愿					
慄		栗					
慆		慆					
慈		慈					
慊		慊					
態		态					
慌		慌					
慍	愠	愠		愠			
慎		慎			慎	愼	
慕		慕					
慘		惨			惨		
慚		惭					
慝		慝					
慟		恸					
慢		慢					
慣		惯					
慥		慥					
慧		慧					
慨		慨			慨	慨	
慪		怄					
慫		怂					
慬		慬					
慮		虑					
慰		慰					
慳		悭					
慵		慵					
慶		庆					
慷		慷					
慺		㥪					
慼		戚					
慾		欲					
憂		忧					
憊		惫					
憋		憋					
憎		憎			憎	憎	
憐		怜					
憑		凭					
憒		愦					
憔		憔					
憕		憕					
憖		慭					
憙		憙					
憚		惮					
憢		𢙒					
憤		愤					
憧		憧					
憨		憨					
憩		憩					
憫		悯					
憬		憬					
憭		憭					
憮		怃					
憲		宪					
憶		忆					
憷		憷					
憸		𪫺					
憹		𢙐					
憺		憺					
憾		憾					
懀		𢙓					
懂		懂					
懇		恳					
懈		懈					
應		应			応		
懊		懊					
懋		懋					
懌		怿					
懍	懔	懔					
懎		𢠁					
懞		蒙					
懟		怼					
懣		懑					
懤		㤽					
懦		懦					
懨		恹					
懲		惩			懲	懲	
懵		懵					
懶		懒					
懷		怀			懐		
懸		悬					
懺		忏					
懼		惧					
懾		慑					
懿		懿					
戀		恋			恋		
戇		戆					
戈		戈					
戊		戊					
戌		戌					
戍		戍					
戎		戎					
成		成					
我		我					
戒		戒					
戔		戋					
戕		戕					
或		或					
戚		戚					
戛		戛					
戟		戟					
戡		戡					
戢		戢					
戣		戣					
戤		戤					
戥		戥					
戧		戗					
戩	戬	戬					
截		截					
戭		戭					
戮		戮					
戰		战 𢧐			戦		
戱		戯					
戲		戏			戯		
戳		戳					
戴		戴					
戶	户 戸	户		户	戸		
戽		戽					
戾		戾			戻		
房		房					
所		所					
扁		扁					
扂		扂					
扃		扃					
扅		扅					
扆		扆					
扇		扇					
扈		扈					
扉		扉					
扊		扊					
手		手					
才		才					
扎		扎					
扒		扒					
打		打					
扔		扔					
托		托					
扛		扛					
扞		扞 捍					
扣		扣					
扦		扦					
扭		扭					
扮		扮					
扯		扯					
扳		扳					
扶		扶					
批		批					
扺		扺					
扼		扼					
扽		扽					
找		找					
承		承					
技		技					
抃		抃					
抄		抄					
抉		抉					
把		把					
抑		抑					
抒		抒					
抓		抓					
抔		抔					
投		投					
抖		抖					
抗		抗					
折		折					
抨		抨					
披		披					
抬		抬					
抱		抱					
抵		抵					
抹		抹					
抻		抻					
押		押					
抽		抽					
抿		抿					
拂		拂			払		
拃		拃					
拄		拄					
担		担					
拆		拆					
拇		拇					
拈		拈					
拉		拉					
拊		拊					
拋	抛	抛					
拌		拌					
拍		拍					
拎		拎					
拐		拐					
拒		拒					
拓		拓					
拔		拔			抜		
拖		拖					
拗		拗					
拘		拘					
拙		拙					
招		招					
拜		拜			拝		
拤		拤					
括		括					
拭		拭					
拮		拮					
拯		拯					
拱		拱					
拳		拳					
拴		拴					
拶		拶					
拷		拷					
拼		拼					
拽		拽					
拾		拾					
拿		拿					
持		持					
挂		挂					
挆	挅						
指		指					
挈		挈					
按		按					
挎		挎					
挑		挑					
挓		挓					
挖		挖					
挨		挨					
挩		捝		捝			
挪		挪					
挫		挫					
振		振					
挲	挱 𣴷	挲					
挹		挹					
挺		挺					
挽		挽					
挾		挟			挟		
捂		捂					
捃		捃					
捅		捅					
捆		捆					
捉		捉					
捋		捋					
捌		捌					
捍		捍					
捎		捎					
捏		捏					
捐		捐					
捕		捕					
捧		捧					
捨		舍					
捩		捩					
捫		扪					
捭		捭					
据		据					
捯		捯					
捱		挨					
捲		卷					
捶		捶					
捷		捷					
捺		捺					
捻		捻					
捽		捽					
掀		掀					
掂		掂					
掃		扫					
掄		抡					
掆		㧏					
掇		掇					
授		授					
掉		掉					
掊		掊					
掌		掌					
掎		掎					
掏		掏					
掐		掐					
排		排					
掖		掖					
掗		挜					
掘		掘					
掙	挣	挣					
掚		𪭵					
掛		挂					
掞		掞					
掠		掠					
採		采					
探		探					
掣		掣					
接		接					
控		控					
推		推					
掩		掩					
措		措					
掬		掬					
掭		掭					
掮		掮					
掰		掰					
掾		掾					
揀		拣					
揄		揄					
揆		揆					
揉		揉					
揍		揍					
描		描					
提		提					
插		插			挿		
揕		揕					
揖		揖					
揚		扬					
換		换					
揠		揠					
握		握					
揣		揣					
揩		揩					
揪		揪					
揭		揭			掲		
揮		挥					
揯		搄					
揳		揳					
援		援					
揶		揶					
揸		揸					
揹		背					
搋		搋					
搌		搌					
損		损					
搏		搏					
搐		搐					
搒		搒					
搓		搓					
搔		搔			掻		
搖	摇	摇			揺		
搗		捣					
搛		搛					
搜		搜			捜		
搞		搞					
搠		搠					
搡		搡					
搦		搦					
搪		搪					
搬		搬					
搭		搭					
搴		搴					
搵		揾		揾			
搶		抢					
搽		搽					
摀		捂					
摁		摁					
摋		𢫬					
摏		摏					
摐		𪭢					
摑		掴			掴		
摒		摒					
摔		摔					
摘		摘					
摛		摛					
摜		掼					
摞		摞					
摟		搂					
摧		摧					
摩		摩					
摭		摭					
摯		挚					
摳		抠					
摴		摴					
摶		抟					
摸		摸					
摹		摹					
摺		折					
摻		掺					
摽		摽					
撂		撂					
撅		撅					
撇		撇					
撈		捞					
撊		𪭾					
撏		挦					
撐	撑	撑					
撒		撒					
撓		挠					
撕		撕					
撖		撖					
撙		撙					
撝		㧑					
撞		撞					
撟		挢					
撣		掸					
撤		撤					
撥		拨					
撧		𪮖					
撩		撩					
撫		抚					
撬		撬					
播		播					
撮		撮					
撰		撰					
撲		扑					
撳		揿					
撻		挞					
撼		撼					
撾		挝					
撿		捡					
擀		擀					
擁		拥					
擂		擂					
擄		掳					
擅		擅					
擇		择			択		
擊		击			撃		
擋		挡					
操		操					
擎		擎					
擐		擐					
擒		擒					
擓		㧟					
擔		担			担		
擘		擘					
據		据			拠		
擟		𪭧					
擠		挤					
擡		抬	抬	抬			
擢		擢					
擣		捣 𢭏					
擤		擤					
擦		擦					
擫		𢬍					
擬		拟					
擯		摈					
擰		拧					
擱		搁					
擲		掷					
擴		扩			拡		
擷		撷					
擺		摆					
擻		擞					
擼		撸					
擽		㧰					
擾		扰					
擿		擿					
攀		攀					
攄		摅					
攆		撵					
攉		攉					
攋		𪮶					
攏		拢					
攔		拦					
攖		撄					
攘		攘					
攙		搀					
攛		撺					
攜	携	携					
攝		摄			摂		
攢		攒					
攣		挛					
攤		摊					
攥		攥					
攪		搅			撹		
攫		攫					
攬		揽					
攮		攮					
支		支					
收		收			収		
攸		攸					
改		改					
攻		攻					
攽		攽					
放		放					
政		政					
故		故					
效		效			効		
敉		敉					
敏		敏			敏	敏	
救		救					
敓		敚		敚			
敔		敔					
敕		敕			勅		
敖		敖					
敗		败					
敘	敍 叙	叙	敘	敍	叙	敍	
教	敎	教					
敝		敝					
敞		敞					
敢		敢					
散		散					
敦		敦					
敫		敫					
敬		敬					
敲		敲					
整		整					
敵		敌					
敷		敷					
數		数			数		
斂		敛					
斃		毙					
斅		𢽾					
斆		敩					
文		文					
斌		斌					
斐		斐					
斑		斑					
斕		斓					
斗		斗					
料		料					
斛		斛					
斜		斜					
斝		斝					
斟		斟					
斠		斠					
斡		斡					
斤		斤					
斥		斥					
斧		斧					
斫		斫					
斬		斩					
斯		斯					
新		新					
斶		斶					
斷		断			断		
斸		𣃁					
方		方					
於		于 於					
施		施					
旁		旁					
旃		旃					
旄		旄					
旅		旅					
旆		旆					
旋		旋					
旌		旌					
旎		旎					
族		族					
旐		旐					
旒		旒					
旖		旖					
旗	旂	旗					
旞		旞					
既	旣	既			既	既	
日		日					
旦		旦					
旨		旨					
早		早					
旬		旬					
旭		旭					
旮		旮					
旯		旯					
旰		旰					
旱		旱					
旴		旴					
旵		旵					
旺		旺					
旻		旻					
旿		旿					
昀		昀					
昂		昂					
昃		昃					
昄		昄					
昆		昆					
昇		升 昇					
昈		昈					
昉		昉					
昊		昊					
昌		昌					
明		明					
昏		昏					
昒		昒					
易		易					
昔		昔					
昕		昕					
昝		昝					
星		星					
映		映					
昡		昡					
昣		昣					
昤		昤					
春		春					
昧		昧					
昨		昨					
昪		昪					
昫		昫					
昭		昭					
是		是					
昱		昱					
昳		昳					
昴		昴					
昵		昵					
昶		昶					
昺		昺					
晁		晁					
時		时					
晃		晃					
晅		晅					
晉	晋	晋			晋		
晊		晊					
晌		晌					
晏		晏					
晐		晐					
晗		晗					
晙		晙					
晚		晚			晩		
晛		𬀪					
晝		昼			昼		
晞		晞					
晟		晟					
晡		晡					
晢		晢					
晤		晤					
晦		晦					
晨		晨					
晪		晪					
晫		晫					
普		普					
景		景					
晰		晰					
晱		晱					
晴		晴					
晶		晶					
晷		晷					
智		智					
晾		晾					
暄		暄					
暇		暇					
暈		晕					
暉		晖					
暌		暌					
暐		𬀩					
暑		暑			暑	暑	
暕		暕					
暖		暖					
暗		暗					
暘		旸					
暝		暝					
暢		畅					
暨		暨			曁		
暫		暂					
暮		暮					
暱		昵					
暲		暲					
暴		暴					
暵		暵					
暶		暶					
暹		暹					
暾		暾					
暿		暿					
曄		晔					
曆		历			暦		
曇		昙					
曈		曈					
曉		晓			暁		
曊		𪰶					
曌		曌					
曏		向					
曖		暧					
曙		曙					
曛		曛					
曜		曜					
曝		曝					
曠		旷					
曥		𣆐					
曦		曦					
曨		昽					
曩		曩					
曬	晒	晒					
曰		曰					
曲		曲					
曳		曳					
更		更					
曷		曷					
書		书					
曹		曹					
曼		曼					
曾		曾			曽		
替		替					
最		最					
會		会			会		
月		月					
有		有					
朋		朋					
服		服					
朏		朏					
朐		朐					
朓		朓					
朔		朔					
朕		朕					
朗		朗			朗	朗	
望		望					
朝		朝					
期		期					
朥		𦛨					
朦		朦					
朧		胧					
木		木					
未		未					
末		末					
本		本					
札		札					
朮		术					
术		术					
朱		朱					
朳		朳					
朴		朴					
朵	朶	朵					
朸		朸					
朽		朽					
杄		杄					
杆		杆					
杈		杈					
杉		杉					
杌		杌					
李		李					
杏		杏					
材		材					
村		村					
杓		杓					
杕		杕					
杖		杖					
杙		杙					
杜		杜					
杞		杞					
束		束					
杠		杠					
杧		杧					
杪		杪					
杭		杭					
杯		杯					
杰		杰					
東		东					
杲		杲					
杳		杳					
杴	𣞘						
杵		杵					
杷		杷					
杻		杻					
杼		杼					
松		松					
板		板					
极		极					
枅		枅					
枇		枇					
枉		枉					
枋		枋					
枍		枍					
析		析					
枕		枕					
林		林					
枘		枘					
枚		枚					
果		果					
枝		枝					
枡					桝		
枯		枯					
枰		枰					
枲		枲					
枳		枳					
枵		枵					
架		架					
枷		枷					
枸		枸					
枹		枹					
柁		柁					
柃		柃					
柄		柄					
柈		柈					
柊		柊					
柏		柏					
某		某					
柑		柑					
柒		柒					
染		染					
柔		柔					
柖		柖					
柘		柘					
柙		柙					
柚		柚					
柜		柜					
柝		柝					
柞		柞					
柢		柢					
查	査	查			査		
柩		柩					
柬		柬					
柯		柯					
柰		柰					
柱		柱					
柳		柳					
柴		柴					
柵	栅	栅					
柷		柷					
柺	枴	拐		枴			
柿		柿					
栐		栐					
栒		栒					
栓		栓					
栖		栖					
栗		栗					
栝		栝					
栟		栟					
校		校					
栩		栩					
株		株					
栲		栲					
栳		栳					
栴		栴					
核		核					
根		根					
栻		栻					
格		格					
栽		栽					
桀		桀					
桁		桁					
桂		桂					
桃		桃					
桄		桄					
桅		桅					
框		框					
案		案					
桉		桉					
桊		桊					
桌		桌					
桎		桎					
桐		桐					
桑		桑					
桓		桓					
桔		桔					
桕		桕					
桫		桫					
桯		桯					
桱		𣐕					
桲		桲					
桴		桴					
桶		桶					
桷		桷					
桹		桹					
桿		杆					
梁		梁					
梃		梃					
梅		梅			梅	梅	
梆		梆					
梌		梌					
梏		梏					
梓		梓					
梔	栀	栀					
梖		𪱷					
梗		梗					
梘		枧					
梜		𬂩					
條		条			条		
梟		枭					
梠		梠					
梢		梢					
梣		梣					
梧		梧					
梨		梨					
梭		梭					
梯		梯					
械		械					
梲	棁	棁		棁			
梳		梳					
梴		梴					
梵		梵					
梽		梽					
棄	弃	弃					
棉		棉					
棋	棊	棋					
棍		棍					
棐		棐					
棒		棒					
棓		棓					
棕		棕					
棖		枨					
棗		枣					
棘		棘					
棚		棚					
棟		栋					
棠		棠					
棡		㭎					
棣		棣					
棤		棤					
棧		栈			桟		
棨		棨					
棪		棪					
棫		棫					
棬		棬					
森		森					
棰		棰					
棱		棱	稜	稜 棱	稜 棱		
棲		栖					
棵		棵					
棶		梾					
棹		棹					
棺		棺					
棻		棻					
棼		棼					
棽		棽					
椀		碗 椀					
椅		椅					
椆		椆					
椋		椋					
植		植					
椎		椎					
椏		丫 桠					
椐		椐					
椑		椑					
椒		椒					
椓		椓					
椪		椪					
椰		椰					
椲		㭏					
椴		椴					
椸		椸					
椹		椹					
椽		椽					
椿		椿					
楂		楂					
楇		𣒌					
楊		杨					
楒		楒					
楓		枫					
楔		楔					
楗		楗					
楙		楙					
楚		楚					
楝		楝					
楞		楞					
楠		楠					
楣		楣					
楦		楦					
楨		桢					
楩		楩					
楪		楪					
楫		楫					
業		业					
楮		楮					
楯		楯					
極		极					
楷		楷					
楸		楸					
楹		楹					
概		概			概	槪	
榃		榃					
榆		榆			楡		
榍		榍					
榑		榑					
榔		榔					
榕		榕					
榖		榖					
榘		矩					
榛		榛					
榜		榜					
榦		干					
榧		榧					
榨		榨					
榪		杩					
榫		榫					
榭		榭					
榮		荣			栄		
榰		榰					
榱		榱					
榲	榅	榅		榅			
榴		榴					
榷		榷					
榻		榻					
榿		桤					
槁		槁					
槃		槃					
槊		槊					
構		构					
槌		槌					
槍		枪					
槎		槎					
槐		槐					
槓		杠					
槔		槔					
槜		槜					
槤		梿					
槧		椠					
槨	椁	椁					
槫		𣏢					
槭		槭					
槮		椮					
槱		槱					
槲		槲					
槳		桨					
槶		椢					
槼		椝					
槽		槽					
槿		槿					
樁		桩					
樂		乐			楽		
樅		枞					
樊		樊					
樑		梁					
樓		楼			楼		
樗		樗					
樘		樘					
標		标					
樞		枢			枢		
樟		樟					
樠		𣗊					
模		模					
樢		㭤					
樣		样			様		
樤		𣔌					
樧		榝					
樨		樨					
樫		㭴					
樳		桪					
樵		樵					
樸		朴					
樹		树					
樺		桦					
樽		樽					
樾		樾					
樿		椫					
橄		橄					
橇		橇					
橈		桡					
橋		桥					
橐		橐					
橑		橑					
橘		橘					
橙		橙					
橛		橛					
橞		橞					
機		机					
橡		橡					
橢		椭					
橦		橦					
橫	横	横			横		
橯		𣓿					
檀		檀					
檁	檩	檩					
檄		檄					
檉		柽					
檎		檎					
檐	簷	檐	簷				
檑		檑					
檔		档					
檗		檗					
檜		桧					
檞		檞					
檟		槚					
檠		檠					
檢		检			検		
檣		樯					
檫		檫					
檬		檬					
檭		𣘴					
檮		梼					
檯		台		枱			
檳		槟					
檵		𪲛					
檸		柠					
檻		槛					
檾	苘 䔛	苘					
櫃		柜					
櫅		𪲎					
櫆		櫆					
櫍		𬃊					
櫓		橹					
櫚		榈					
櫛		栉					
櫝		椟					
櫞		橼					
櫟		栎					
櫠		𪲮					
櫥	橱	橱					
櫧		槠					
櫨		栌					
櫪		枥					
櫫	橥	橥					
櫬		榇					
櫱	蘖	蘖					
櫳		栊					
櫸	欅	榉					
櫻		樱			桜		
欂		欂					
欄		栏			欄	欄	
欇		𪳍					
權		权			権		
欍		𣐤					
欏		椤					
欐		𪲔					
欑		𪴙					
欒		栾					
欓		𣗋					
欖		榄					
欘		𣚚					
欞		棂					
欠		欠					
次		次					
欣		欣					
欲		欲					
欸		欸					
欹		欹					
欺		欺					
欻		欻					
欽		钦					
款		款					
歃		歃					
歅		歅					
歆		歆					
歇		歇					
歉		歉					
歌		歌					
歎		叹					
歐		欧			欧		
歙		歙					
歟		欤					
歡		欢			歓		
止		止					
正		正					
此		此					
步		步			歩		
武		武					
歧		歧					
歪		歪					
歲	嵗 𡻕	岁			歳		
歷		历			歴		
歸		归			帰		
歹		歹					
死		死					
歿	殁	殁					
殂		殂					
殃		殃					
殄		殄					
殆		殆					
殉		殉					
殊		殊					
殍		殍					
殖		殖					
殘		残			残		
殛		殛					
殞		殒					
殢		𣨼					
殣		殣					
殤		殇					
殨		㱮					
殪		殪					
殫		殚					
殭		僵					
殮		殓					
殯		殡					
殰		㱩					
殲		歼					
殳		殳					
段		段					
殷		殷					
殺		杀			殺	殺	
殼	㱿 殻 𣪊	壳			殻		
殿		殿					
毀	毁	毁					
毅		毅					
毆		殴			殴		
毊		𪵑					
毋		毋					
毌		毌					
母		母					
每		每			毎		
毐		毐					
毒		毒					
毓		毓					
比		比					
毖		毖					
毗		毗					
毛		毛					
毪		毪					
毫		毫					
毯		毯					
毳		毳					
毹		毹					
毽		毽					
毿		毵					
氅		氅					
氆		氆					
氈		毡					
氌		氇					
氍		氍					
氏		氏					
氐		氐					
民		民					
氓		氓					
氕		氕					
氖		氖					
氘		氘					
氙		氙					
氚		氚					
氛		氛					
氟		氟					
氡		氡					
氣		气			気		
氤		氤					
氦		氦					
氧		氧					
氨		氨					
氪		氪					
氫		氢					
氬		氩					
氭		𣱝					
氮		氮					
氯		氯					
氰		氰					
氳	氲	氲		氲			
水		水					
永		永					
氾		泛 氾					
氿		氿					
汀		汀					
汁		汁					
求		求					
汆		汆					
汈		汈					
汊		汊					
汋		汋					
汎		泛					
汐		汐					
汔		汔					
汕		汕					
汗		汗					
汛		汛					
汜		汜					
汝		汝					
汞		汞					
江		江					
池		池					
污	汙 汚	污	汙		汚		
汧		汧					
汨		汨					
汩		汩					
汪		汪					
汫		汫					
汭		汭					
汰		汰					
汲		汲					
汴		汴					
汶		汶					
決	决	决					
汽		汽					
汾		汾					
沁		沁					
沂		沂					
沃		沃					
沅		沅					
沆		沆					
沇		沇					
沈		沈					
沉		沉					
沌		沌					
沏		沏					
沐		沐					
沒		没			没		
沓		沓					
沔		沔					
沖	冲	冲					
沘		沘					
沙		沙					
沚		沚					
沛		沛					
没		没					
沫		沫					
沭		沭					
沮		沮					
沱		沱					
河		河					
沸		沸					
油		油					
沺		沺					
治		治					
沼		沼					
沽		沽					
沾		沾					
沿		沿					
況	况	况					
泂		泂					
泃		泃					
泄		泄	洩				
泅		泅					
泇		泇					
泉		泉					
泊		泊					
泌		泌					
泐		泐					
泓		泓					
泔		泔					
法		法					
泖		泖					
泗		泗					
泙		泙					
泚		泚					
泛		泛					
泜		泜					
泠		泠					
泡		泡					
波		波					
泣		泣					
泥		泥					
注		注					
泫		泫					
泮		泮					
泯		泯					
泰		泰					
泱		泱					
泳		泳					
泵		泵					
洄		洄					
洇		洇					
洈		洈					
洋		洋					
洌		洌					
洎		洎					
洑		洑					
洓		洓					
洗		洗					
洘		洘					
洙		洙					
洚		洚					
洛		洛					
洞		洞					
洢		洢					
洣		洣					
津		津					
洧		洧					
洨		洨					
洩		泄					
洪		洪					
洫		洫					
洭		洭					
洮		洮					
洱		洱					
洲		洲					
洳		洳					
洴		洴					
洵		洵					
洶	汹	汹					
洸		洸					
洹		洹					
洺		洺					
活		活					
洽		洽					
派		派					
洿		洿					
流		流					
浙		浙					
浚		浚					
浛		浛					
浜		浜					
浞		浞					
浟		浟					
浠		浠					
浡		浡					
浣		浣					
浥		浥					
浦		浦					
浩		浩					
浪		浪					
浬		浬					
浭		浭					
浮		浮					
浯		浯					
浰		浰					
浲		浲					
浴		浴					
海		海			海	海	
